Date,Time,inches,inches,Raw,Alarm,Date,Time,Date/Time,Within 1 day,Winter,Zeros
9/23/2015,0:54:39,41.1,0.04,1044,,42270,0.037951,42270.038,#REF!,1,#REF!
9/23/2015,0:46:18,41.06,0.04,1043,,42270,0.032153,42270.032,0.04,1,#REF!
9/23/2015,0:40:12,41.02,0.04,1042,,42270,0.027917,42270.028,0.04,1,1
9/23/2015,0:35:21,40.98,0.04,1041,,42270,0.024549,42270.025,0.04,1,1
9/23/2015,0:29:20,40.94,0.04,1040,,42270,0.020370,42270.020,0.04,1,1
9/23/2015,0:23:52,40.91,0.04,1039,,42270,0.016574,42270.017,0.04,1,1
9/23/2015,0:22:22,40.87,0.04,1038,,42270,0.015532,42270.016,0.04,1,1
9/23/2015,0:21:02,40.83,0.04,1037,,42270,0.014606,42270.015,0.04,1,#REF!
9/23/2015,0:19:56,40.79,0.04,1036,,42270,0.013843,42270.014,#REF!,1,#REF!
,,,,,,,,,,,
9/3/2015,17:08:26,40.63,0.04,1032,,42250,0.714190,42250.714,#REF!,1,#REF!
9/3/2015,17:02:31,40.59,0.04,1031,,42250,0.710081,42250.710,0.04,1,#REF!
9/3/2015,16:55:44,40.55,0.04,1030,,42250,0.705370,42250.705,#REF!,1,#REF!
,,,,,,,,,,,
8/19/2015,1:50:22,40.35,0.04,1025,,42235,0.076644,42235.077,#REF!,1,#REF!
8/19/2015,1:24:46,40.31,0.04,1024,,42235,0.058866,42235.059,0.04,1,#REF!
8/19/2015,1:12:35,40.28,0.04,1023,,42235,0.050405,42235.050,0.04,1,#REF!
8/19/2015,0:47:25,40.24,0.04,1022,,42235,0.032928,42235.033,#REF!,1,#REF!
,,,,,,,,,,,
8/16/2015,2:49:46,39.96,0.04,1015,,42232,0.117894,42232.118,#REF!,1,#REF!
8/16/2015,2:22:15,39.92,0.04,1014,,42232,0.098785,42232.099,#REF!,1,#REF!
8/16/2015,1:39:58,39.88,0.04,1013,,42232,0.069421,42232.069,#REF!,1,#REF!
,,,,,,,,,,,
8/14/2015,17:42:37,39.84,0.08,1012,,42230,0.737928,42230.738,#REF!,1,#REF!
8/14/2015,17:35:25,39.76,0.04,1010,,42230,0.732928,42230.733,0.04,1,#REF!
8/14/2015,16:43:17,39.72,0.04,1009,,42230,0.696725,42230.697,0.04,1,#REF!
8/14/2015,16:33:38,39.69,0.04,1008,,42230,0.690023,42230.690,#REF!,1,#REF!
,,,,,,,,,,,
8/13/2015,17:57:07,39.65,0.04,1007,,42229,0.747998,42229.748,#REF!,1,#REF!
8/13/2015,17:52:38,39.61,0.04,1006,,42229,0.744884,42229.745,0.04,1,#REF!
8/13/2015,17:49:07,39.57,0.04,1005,,42229,0.742442,42229.742,0.04,1,1
8/13/2015,17:47:03,39.53,0.04,1004,,42229,0.741007,42229.741,0.04,1,#REF!
8/13/2015,17:43:11,39.49,0.04,1003,,42229,0.738322,42229.738,#REF!,1,#REF!
,,,,,,,,,,,
,,,,,,,,,,,
8/10/2015,15:26:37,39.33,0.04,999,,42226,0.643484,42226.643,#REF!,1,#REF!
8/10/2015,14:22:31,39.29,0.04,998,alarm,42226,0.598970,42226.599,#REF!,1,#REF!
8/10/2015,14:19:57,39.25,0.04,997,alarm,42226,0.597188,42226.597,0.04,1,#REF!
8/10/2015,14:18:21,39.21,0.04,996,alarm,42226,0.596076,42226.596,0.04,1,1
8/10/2015,14:17:02,39.17,0.04,995,alarm,42226,0.595162,42226.595,0.04,1,1
8/10/2015,14:16:04,39.13,0.04,994,alarm,42226,0.594491,42226.594,0.04,1,1
8/10/2015,14:15:09,39.09,0.04,993,alarm,42226,0.593854,42226.594,0.04,1,1
8/10/2015,14:14:09,39.06,0.04,992,alarm,42226,0.593160,42226.593,0.04,1,#REF!
8/10/2015,14:13:39,39.02,0.04,991,alarm,42226,0.592813,42226.593,#REF!,1,#REF!
8/10/2015,14:12:43,38.98,0.08,990,alarm,42226,0.592164,42226.592,#REF!,1,#REF!
8/10/2015,14:11:49,38.9,0.12,988,alarm,42226,0.591539,42226.592,0.12,1,#REF!
8/10/2015,14:09:39,38.78,0.04,985,alarm,42226,0.590035,42226.590,#REF!,1,#REF!
8/10/2015,14:08:48,38.74,0.08,984,alarm,42226,0.589444,42226.589,#REF!,1,#REF!
8/10/2015,14:08:19,38.66,0.04,982,alarm,42226,0.589109,42226.589,0.04,1,#REF!
8/10/2015,14:07:49,38.62,0.08,981,alarm,42226,0.588762,42226.589,0.08,1,1
8/10/2015,14:07:29,38.54,0.04,979,alarm,42226,0.588530,42226.589,0.04,1,1
8/10/2015,14:06:59,38.5,0.04,978,alarm,42226,0.588183,42226.588,0.04,1,1
8/10/2015,14:06:29,38.46,0.04,977,,42226,0.587836,42226.588,0.04,1,1
8/10/2015,14:06:00,38.43,0.04,976,,42226,0.587500,42226.588,0.04,1,1
8/10/2015,14:05:29,38.39,0.04,975,,42226,0.587141,42226.587,0.04,1,1
8/10/2015,14:04:10,38.35,0.04,974,,42226,0.586227,42226.586,0.04,1,1
8/10/2015,14:03:39,38.31,0.04,973,,42226,0.585868,42226.586,0.04,1,1
8/10/2015,14:03:09,38.27,0.04,972,,42226,0.585521,42226.586,0.04,1,1
